Date,Sum of wasp ratio,Cultivar,High/Low,Transect,Distance,Proportion,Wasp count,Not wasp,Galls
06/04/2013,1,Tommy Atkins,H,TA1,0,0.5,5,5,152
06/04/2013,0.2,Tommy Atkins,L,TA1,0,0.1,1,9,74
06/04/2013,0.7,Tommy Atkins,H,TA1,10,0.4,4,6,137.8181818
06/04/2013,0.7,Tommy Atkins,L,TA1,10,0.3,3,7,36
06/04/2013,0.8,Tommy Atkins,H,TA1,50,0.4,4,6,106
06/04/2013,0.6,Tommy Atkins,L,TA1,50,0.3,3,7,94
06/04/2013,0.8,Tommy Atkins,H,TA1,100,0.4,4,6,98.4
06/04/2013,0.2,Tommy Atkins,L,TA1,100,0.1,1,9,138.4
06/04/2013,0,Tommy Atkins,H,TA1,200,0,0,10,285.6
06/04/2013,0.6,Tommy Atkins,L,TA1,200,0.3,3,7,210
07/04/2013,0.2,Kent,H,K1,0,0.1,1,9,46.4
07/04/2013,0.4,Kent,L,K1,0,0.2,2,8,86
07/04/2013,0.4,Kent,H,K1,10,0.2,2,8,23
07/04/2013,0.6,Kent,L,K1,10,0.3,3,7,7
07/04/2013,0.4,Kent,H,K1,50,0.2,2,8,41
07/04/2013,0.6,Kent,L,K1,50,0.3,3,7,77
07/04/2013,0,Kent,H,K1,100,0,0,10,42
07/04/2013,0.8,Kent,L,K1,100,0.4,4,6,90
07/04/2013,0,Kent,H,K1,200,0,0,10,7.5
07/04/2013,0.2,Kent,L,K1,200,0.1,1,9,24
08/04/2013,0.6,Kent,H,K3,0,0.3,3,7,31
08/04/2013,0.2,Kent,L,K3,0,0.1,1,9,6
08/04/2013,0.4,Kent,H,K3,10,0.2,2,8,124
08/04/2013,0.4,Kent,L,K3,10,0.2,2,8,65.77777778
08/04/2013,0.2,Kent,H,K3,50,0.1,1,9,54
08/04/2013,0.2,Kent,L,K3,50,0.1,1,9,34.36363636
08/04/2013,0.2,Kent,H,K3,100,0.1,1,9,41
08/04/2013,0,Kent,L,K3,100,0,0,10,23
08/04/2013,0.4,Kent,H,K3,200,0.2,2,8,100
08/04/2013,0.2,Kent,H,K3,200,0.1,1,9,20
09/04/2013,0,Tommy Atkins,H,TA4,0,0,0,10,132
09/04/2013,0.6,Tommy Atkins,L,TA4,0,0.3,3,7,84
09/04/2013,0.4,Tommy Atkins,H,TA4,10,0.2,2,8,121
09/04/2013,0.4,Tommy Atkins,L,TA4,10,0.2,2,8,160
09/04/2013,0.2,Tommy Atkins,H,TA4,50,0.1,1,9,248.8888889
09/04/2013,0.2,Tommy Atkins,L,TA4,50,0.1,1,9,214.5454545
09/04/2013,0.2,Tommy Atkins,H,TA4,100,0.1,1,9,65.55555556
09/04/2013,0.4,Tommy Atkins,L,TA4,100,0.2,2,8,47.27272727
09/04/2013,0.4,Tommy Atkins,H,TA4,200,0.2,2,8,155
09/04/2013,0.2,Tommy Atkins,L,TA4,200,0.1,1,9,216
15/04/2013,0.6,Kent,H,K1,0,0.3,3,7,15
15/04/2013,0.4,Kent,L,K1,0,0.2,2,8,98
15/04/2013,0.2,Kent,H,K3,0,0.1,1,9,30
15/04/2013,0.8,Kent,L,K3,0,0.4,4,6,70
15/04/2013,0.2,Tommy Atkins,H,TA1,0,0.1,1,9,114
15/04/2013,0,Tommy Atkins,L,TA1,0,0,0,10,100
15/04/2013,0.8,Tommy Atkins,H,TA4,0,0.4,4,6,180
15/04/2013,0,Tommy Atkins,L,TA4,0,0,0,10,72
15/04/2013,0,Kent,H,K1,10,0,0,10,136
15/04/2013,0.2,Kent,L,K1,10,0.1,1,9,10
15/04/2013,0.6,Kent,H,K3,10,0.3,3,7,17.5
15/04/2013,0.6,Kent,L,K3,10,0.3,3,7,70
15/04/2013,0.4,Tommy Atkins,H,TA1,10,0.2,2,8,50
15/04/2013,1.2,Tommy Atkins,L,TA1,10,0.6,6,4,17
15/04/2013,0.2,Tommy Atkins,H,TA4,10,0.1,1,9,226
15/04/2013,0.2,Tommy Atkins,L,TA4,10,0.1,1,9,90
15/04/2013,0.4,Kent,H,K1,50,0.2,1,8,70.22222222
15/04/2013,0.2,Kent,L,K1,50,0.1,2,9,140.7272727
